modified_id,keyword,cluster
6254,soft carb full bod,taste
6254,dark roast malts,style
6254,dark roast coffee,ingredients
6254,dark brown,appearance
6347,hazy golden body large,appearance
6347,odd combination flavors,taste
6347,moderate lively carbonation,carbonation
6347,frothy white head,appearance
6347,aroma toasted grain,taste
8149,pours opaque deep dark brown decent small bead tan head,appearance
8149,taste sweet dark malt,taste
8149,slight almost unnoticeable bitterness,finish
8149,aroma coffee molasses,ingredients
8149,good stuff,taste
5240,slick lightly creamy fudge coffee roast giving way tonight vanilla sourdough wheat,taste
5240,good cocoa coffee nose hints sourdough dried dark fruits,taste
5240,dark beige head slowly fades ring,appearance
5240,unexciting intended anything mind blowing,style
5240,dark black undetermined clarity,appearance
8500,finger white froth atop,appearance
8500,nose wheat citrus,aroma
8500,middle bready wheat,ingredients
8500,finish easy refreshing,taste
8500,light lemon,taste
5111,pours almost clear light golden colour large thick throthy white head,appearance
5111,taste similar aroma notes detected pear drop finish,taste
5111,favourite style beer seems like one better ones,taste
5111,low carbonation palate smooth mouthfeel,carbonation
5111,bottle online beers europe,packaging
9359,well balanced hop bitterness end,ingredients
9359,flavor notes roasted coffee chocolate,ingredients
9359,easy drinking,style
7813,medium body medium carbonation leads creamy mouthfeel continues silky finish,carbonation
7813,big mocha aroma nose gives notes chocolate syrup,taste
7813,quickly followed mocha note adds chocolate fresh espresso,ingredients
7813,sweet milk sugars front gives notes vanilla cream,style
7813,finger creamy khaki head good retention,appearance
7804,hoppy piney citrusy aromas hop heaven,ingredients
7804,deep amber orange lively bubbles,appearance
7804,taste follows introduction perfectly,taste
7804,malt body balances hops,ingredients
7804,leaves lacing duration glass,appearance
3150,carling darling lager choice since forever lovely clean taste hoppy zero bitterness,taste
3150,decent strength mega fizzy super easy drink,style
3150,review carling lager,taste
3150,one item guaranteed fridge,taste
3150,carling always mainstay,taste
7794,subtle hop flavor strong tart flavor love,ingredients
7794,taste like ipas tried,style
7794,nice beer id get,taste
7794,smell horrible,aroma
6269,nasty nellie rude attitude,finish
6269,shared bottle jr,packaging
6269,pale slight haze,appearance
6269,fer sher ipa,style
6269,well done,style
6104,p gold moderate white head,appearance
6104,light spiciness finish,finish
6104,light body,taste
6104,light biscuit,taste
6104,touch salt,taste
3269,price little high priced comparable brands,price
3269,continue recommend adult friends,taste
3269,usually enjoy bottle,packaging
3269,love flavor drink,style
9352,pomegranate weak come bit palate,palate
9352,good want pomegranate sure,taste
9352,mild pomegranate,taste
9352,white head,taste
9352,light body,taste
9982,one favorite leiny brews,taste
6180,lovely pale ale flavors wheat ale,style
6180,one rare legends holds years,price
6180,tiny hint sweetness,taste
6180,draft bennington,taste
6180,believe reviewed,style
7768,tall bubbly head fades quick,appearance
7768,taste leans chocolate toast,ingredients
7768,smells like toasted grain,taste
7768,er dated black ruby,appearance
7768,overload sweetness bad,taste
3792,actually tried halloween carnival two options,taste
3792,good beer drink burger,taste
3792,easy beer drink nice,taste
3792,pleasantly surprised,style
3792,light flavor,taste
3270,said like strong flavor hoppy beer beer,taste
3270,normally love ipa beer tad hoppy,style
9934,bubble stash pours lighter copper color huge long lasting head,appearance
9934,sweeter milder finish,finish
9934,good body feel,taste
9934,balanced sweeter finish,finish
9934,aroma early sweet,aroma
3276,citrus flavors definitely prevalent would recommend n personal opinion,taste
3276,like many beer enthusiasts like try new things,taste
3276,particular ipa happy liking,style
7821,real high ibu flavor point nice bitter,finish
7821,bought variety pack one stood,taste
